product_id,product_name,product_amount,product_description,product_photo,batch_id,batch_amount,batch_status,product_date_created,upper_material,upper_craftsman,insole_material,insole_craftsman,lining_material,lining_craftsman,outsole_material,outsole_craftsman,shoelaces_material,shoelaces_craftsman
PRD25,Atlas Sneaker White,10,ATLAS is sustainably designed using kenaf fibers and ramie. Features with an antimicrobial additive to prevent bacteria from causing odor and offered in sponge cushioned support to lock your feet in place.,P25,BT1,10,belum dibuat,05/16/2024,Kenaf Fibers and Ramie (Red Pull Tap),Regi Muhammar,Latex,Alda Ellsa Faradilla,Null,Regi Muhammar,Natural Raw Rubber (Crepe Sole),Regi Muhammar,Recycled Polyester,Regi Muhammar
PRD26,Atlas Sneaker White,12,ATLAS is sustainably designed using kenaf fibers and ramie. Features with an antimicrobial additive to prevent bacteria from causing odor and offered in sponge cushioned support to lock your feet in place.,P26,BT2,12,selesai,05/17/2024,Kenaf Fibers and Ramie (Red Pull Tap),Alda Ellsa Faradilla,Latex,Regi Muhammar,Null,Regi Muhammar,Natural Raw Rubber (Crepe Sole),Zildan Faisal,Recycled Polyester,Zildan Faisal
PRD27,Atlas Sneaker White,8,ATLAS is sustainably designed using kenaf fibers and ramie. Features with an antimicrobial additive to prevent bacteria from causing odor and offered in sponge cushioned support to lock your feet in place.,P27,BT3,8,selesai,05/18/2024,Kenaf Fibers and Ramie (Red Pull Tap),Regi Muhammar,Latex,Alda Ellsa Faradilla,Null,Alda Ellsa Faradilla,Natural Raw Rubber (Crepe Sole),Zildan Faisal,Recycled Polyester,Zildan Faisal
PRD28,Atlas Sneaker White,15,ATLAS is sustainably designed using kenaf fibers and ramie. Features with an antimicrobial additive to prevent bacteria from causing odor and offered in sponge cushioned support to lock your feet in place.,P28,BT4,15,belum dibuat,05/19/2024,Kenaf Fibers and Ramie (Red Pull Tap),Zildan Faisal,Latex,Regi Muhammar,Null,Alda Ellsa Faradilla,Natural Raw Rubber (Crepe Sole),Regi Muhammar,Recycled Polyester,Regi Muhammar
PRD29,Saki Sneakers - Soybean,7,"Through Saki Sneakers, we have avoided using virgin cotton and substituted the shoe upper with 70% recycled cotton coming from manufacturer textile waste.",P29,BT5,7,selesai,05/20/2024,Recycled Cotton,Zildan Faisal,Natural Rubber,Zildan Faisal,Beech tree fiber,Zildan Faisal,Thermoplastic Rubber,Wiwit Atika,Recycled Polyester,Wiwit Atika
PRD30,Saki Sneakers - Soybean,5,"Through Saki Sneakers, we have avoided using virgin cotton and substituted the shoe upper with 70% recycled cotton coming from manufacturer textile waste.",P30,BT6,5,selesai,05/21/2024,Recycled Cotton,Regi Muhammar,Natural Rubber,Zildan Faisal,Beech tree fiber,Alda Ellsa Faradilla,Thermoplastic Rubber,Wiwit Atika,Recycled Polyester,Juanda Felix
PRD31,Saki Sneakers - Soybean,12,"Through Saki Sneakers, we have avoided using virgin cotton and substituted the shoe upper with 70% recycled cotton coming from manufacturer textile waste.",P31,BT7,12,belum dibuat,05/22/2024,Recycled Cotton,Wiwit Atika,Natural Rubber,Regi Muhammar,Beech tree fiber,Alda Ellsa Faradilla,Thermoplastic Rubber,Wiwit Atika,Recycled Polyester,Regi Muhammar
PRD32,Saki Sneakers - Soybean,13,"Through Saki Sneakers, we have avoided using virgin cotton and substituted the shoe upper with 70% recycled cotton coming from manufacturer textile waste.",P32,BT8,13,selesai,05/23/2024,Recycled Cotton,Juanda Felix,Natural Rubber,Wiwit Atika,Beech tree fiber,Regi Muhammar,Thermoplastic Rubber,Regi Muhammar,Recycled Polyester,Wiwit Atika
PRD33,Kotta Hybrid Sneakers - Skeleton,18,"KOTTA in Japanese refers to something exquisite and advanced. The name represents our tiny tweak combining a moc toe upper silhouette. Inspired by cities that are familiar with fast-paced life, KOTTA provides a contrasting look between formal and casual. These pairs definitely match with an urban setting.",P33,BT9,18,belum dibuat,05/24/2024,Recycled Cotton,Iqbal Inggil,EVA,Juanda Felix,Null,Alda Ellsa Faradilla,Natural Rubber,Alda Ellsa Faradilla,Cotton,Juanda Felix
PRD34,Kotta Hybrid Sneakers - Skeleton,24,"KOTTA in Japanese refers to something exquisite and advanced. The name represents our tiny tweak combining a moc toe upper silhouette. Inspired by cities that are familiar with fast-paced life, KOTTA provides a contrasting look between formal and casual. These pairs definitely match with an urban setting.",P34,BT10,24,belum dibuat,05/25/2024,Recycled Cotton,Iqbal Inggil,EVA,Iqbal Inggil,Null,Regi Muhammar,Natural Rubber,Alda Ellsa Faradilla,Cotton,Alda Ellsa Faradilla
PRD35,Kotta Hybrid Sneakers - Skeleton,14,"KOTTA in Japanese refers to something exquisite and advanced. The name represents our tiny tweak combining a moc toe upper silhouette. Inspired by cities that are familiar with fast-paced life, KOTTA provides a contrasting look between formal and casual. These pairs definitely match with an urban setting.",P35,BT11,14,selesai,05/26/2024,Recycled Cotton,Juanda Felix,EVA,Iqbal Inggil,Null,Zildan Faisal,Natural Rubber,Zildan Faisal,Cotton,Zildan Faisal
PRD36,Kotta Hybrid Sneakers - Skeleton,17,"KOTTA in Japanese refers to something exquisite and advanced. The name represents our tiny tweak combining a moc toe upper silhouette. Inspired by cities that are familiar with fast-paced life, KOTTA provides a contrasting look between formal and casual. These pairs definitely match with an urban setting.",P36,BT12,17,selesai,05/27/2024,Recycled Cotton,Juanda Felix,EVA,Juanda Felix,Null,Zildan Faisal,Natural Rubber,Alda Ellsa Faradilla,Cotton,Alda Ellsa Faradilla
PRD37,Tiga Slip-On Sneakers - Cerulean Blue,9,"Has a meaning ""to be different or the difference"", the name TIGA was also chosen because the detachable flap concept aims to provide a variety of styles with 3 different shoe looks. Taking inspiration from the UI/UX trend called glass morphism has made us develop a translucent material that causes a blurry effect in the color behind it. This moodboard is applied to the flap design using a new material, namely fused plastic. Yes, we reuse post-consumer plastic bag waste.",P37,BT13,9,belum dibuat,05/28/2024,Recycled Cotton,Juanda Felix,EVA,Juanda Felix,Null,Regi Muhammar,Thermoplastic Rubber,Alda Ellsa Faradilla,Recycled Polyester (rPET),Alda Ellsa Faradilla
PRD38,Tiga Slip-On Sneakers - Cerulean Blue,7,"Has a meaning ""to be different or the difference"", the name TIGA was also chosen because the detachable flap concept aims to provide a variety of styles with 3 different shoe looks. Taking inspiration from the UI/UX trend called glass morphism has made us develop a translucent material that causes a blurry effect in the color behind it. This moodboard is applied to the flap design using a new material, namely fused plastic. Yes, we reuse post-consumer plastic bag waste.",P38,BT14,7,selesai,05/29/2024,Recycled Cotton,Alda Ellsa Faradilla,EVA,Juanda Felix,Null,Wiwit Atika,Thermoplastic Rubber,Regi Muhammar,Recycled Polyester (rPET),Regi Muhammar
PRD39,Tiga Slip-On Sneakers - Cerulean Blue,10,"Has a meaning ""to be different or the difference"", the name TIGA was also chosen because the detachable flap concept aims to provide a variety of styles with 3 different shoe looks. Taking inspiration from the UI/UX trend called glass morphism has made us develop a translucent material that causes a blurry effect in the color behind it. This moodboard is applied to the flap design using a new material, namely fused plastic. Yes, we reuse post-consumer plastic bag waste.",P39,BT15,10,selesai,05/30/2024,Recycled Cotton,Regi Muhammar,EVA,Alda Ellsa Faradilla,Null,Juanda Felix,Thermoplastic Rubber,Alda Ellsa Faradilla,Recycled Polyester (rPET),Alda Ellsa Faradilla
PRD40,Tiga Slip-On Sneakers - Cerulean Blue,15,"Has a meaning ""to be different or the difference"", the name TIGA was also chosen because the detachable flap concept aims to provide a variety of styles with 3 different shoe looks. Taking inspiration from the UI/UX trend called glass morphism has made us develop a translucent material that causes a blurry effect in the color behind it. This moodboard is applied to the flap design using a new material, namely fused plastic. Yes, we reuse post-consumer plastic bag waste.",P40,BT16,15,selesai,05/31/2024,Recycled Cotton,Iqbal Inggil,EVA,Regi Muhammar,Null,Iqbal Inggil,Thermoplastic Rubber,Regi Muhammar,Recycled Polyester (rPET),Regi Muhammar
PRD41,Kevinswork x Bluesville Sakka Batik,17,"Sneaker collaboration amongst Pijakbumi x Kevinswork x Bluesville is made using recycled cotton, bandana signature print, suede leather, and natural rubber. These shoes philosophically represent The Spirit of Togetherness 'Gotong Royong' amongst Indonesian Local Brands and creative industry.",P41,BT17,17,belum dibuat,06/01/2024,"Recycled Cotton, Polyester",Wiwit Atika,EVA,Iqbal Inggil,Null,Iqbal Inggil,Natural Rubber,Zildan Faisal,Poly Cotton,Zildan Faisal
PRD42,Kevinswork x Bluesville Sakka Batik,21,"Sneaker collaboration amongst Pijakbumi x Kevinswork x Bluesville is made using recycled cotton, bandana signature print, suede leather, and natural rubber. These shoes philosophically represent The Spirit of Togetherness 'Gotong Royong' amongst Indonesian Local Brands and creative industry.",P42,BT18,21,belum dibuat,06/02/2024,"Recycled Cotton, Polyester",Wiwit Atika,EVA,Wiwit Atika,Null,Juanda Felix,Natural Rubber,Zildan Faisal,Poly Cotton,Zildan Faisal
PRD43,Kevinswork x Bluesville Sakka Batik,20,"Sneaker collaboration amongst Pijakbumi x Kevinswork x Bluesville is made using recycled cotton, bandana signature print, suede leather, and natural rubber. These shoes philosophically represent The Spirit of Togetherness 'Gotong Royong' amongst Indonesian Local Brands and creative industry.",P43,BT19,20,belum dibuat,06/03/2024,"Recycled Cotton, Polyester",Regi Muhammar,EVA,Wiwit Atika,Null,Juanda Felix,Natural Rubber,Regi Muhammar,Poly Cotton,Regi Muhammar
PRD44,Kevinswork x Bluesville Sakka Batik,15,"Sneaker collaboration amongst Pijakbumi x Kevinswork x Bluesville is made using recycled cotton, bandana signature print, suede leather, and natural rubber. These shoes philosophically represent The Spirit of Togetherness 'Gotong Royong' amongst Indonesian Local Brands and creative industry.",P44,BT20,15,selesai,06/04/2024,"Recycled Cotton, Polyester",Regi Muhammar,EVA,Regi Muhammar,Null,Juanda Felix,Natural Rubber,Wiwit Atika,Poly Cotton,Wiwit Atika
PRD45,Atlas Eceng Hi Top Sneaker White,14,"We substitute conventional petrochemical materials with naturally derived and recycled materials. Creating a textile upper from Kenaf and water hyacinth waste using a handloom weaving machine. We combined the bio-based fabric with natural raw rubber (crepe soles), which are pressed into sole shapes that offer grips, flexibility, cushions, and comfort to support long walks.",P45,BT21,14,belum dibuat,06/05/2024,Kenaf and Water Hyacinth,Alda Ellsa Faradilla,Natural Rubber,Regi Muhammar,Beech Trees Cellulose Fiber,Alda Ellsa Faradilla,Natural Rubber,Juanda Felix,Recycled Polyester,Juanda Felix
PRD46,Atlas Eceng Hi Top Sneaker White,12,"We substitute conventional petrochemical materials with naturally derived and recycled materials. Creating a textile upper from Kenaf and water hyacinth waste using a handloom weaving machine. We combined the bio-based fabric with natural raw rubber (crepe soles), which are pressed into sole shapes that offer grips, flexibility, cushions, and comfort to support long walks.",P46,BT22,12,belum dibuat,06/06/2024,Kenaf and Water Hyacinth,Alda Ellsa Faradilla,Natural Rubber,Alda Ellsa Faradilla,Beech Trees Cellulose Fiber,Regi Muhammar,Natural Rubber,Iqbal Inggil,Recycled Polyester,Iqbal Inggil
PRD47,Atlas Eceng Hi Top Sneaker White,18,"We substitute conventional petrochemical materials with naturally derived and recycled materials. Creating a textile upper from Kenaf and water hyacinth waste using a handloom weaving machine. We combined the bio-based fabric with natural raw rubber (crepe soles), which are pressed into sole shapes that offer grips, flexibility, cushions, and comfort to support long walks.",P47,BT23,18,selesai,06/07/2024,Kenaf and Water Hyacinth,Zildan Faisal,Natural Rubber,Alda Ellsa Faradilla,Beech Trees Cellulose Fiber,Iqbal Inggil,Natural Rubber,Iqbal Inggil,Recycled Polyester,Iqbal Inggil
PRD48,Atlas Eceng Hi Top Sneaker White,20,"We substitute conventional petrochemical materials with naturally derived and recycled materials. Creating a textile upper from Kenaf and water hyacinth waste using a handloom weaving machine. We combined the bio-based fabric with natural raw rubber (crepe soles), which are pressed into sole shapes that offer grips, flexibility, cushions, and comfort to support long walks.",P48,BT24,20,selesai,06/08/2024,Kenaf and Water Hyacinth,Zildan Faisal,Natural Rubber,Zildan Faisal,Beech Trees Cellulose Fiber,Wiwit Atika,Natural Rubber,Juanda Felix,Recycled Polyester,Juanda Felix